CEL1 ID	CEL1 short_name	CEL1 description	CEL2 ID	CEL2 short_name	CEL2 description	CEL3 ID	CEL3 short_name	CEL3 description	CEL4 ID	CEL4 short_name	CEL4 description	CEL5 ID	CEL5 short_name	CEL5 description
B01-Land	Land	Land acquisition & assemblage	B01a-Land acquisition	Land acquisition	Purchasing property	B01a01-Brokerage	Brokerage	Real estate broker services	B01a01a-Commission	Commission	Broker fees			
B01-Land	Land	Land acquisition & assemblage	B01a-Land acquisition	Land acquisition	Purchasing property	B01a02-Due diligence	Due diligence	Pre-purchase investigation	B01a02a-Feasibility	Feasibility	Feasibility analysis			
B01-Land	Land	Land acquisition & assemblage	B01a-Land acquisition	Land acquisition	Purchasing property	B01a03-Legal	Legal	Purchase legal services	B01a03a-Closing costs	Closing costs	Title and escrow fees			
B01-Land	Land	Land acquisition & assemblage	B01a-Land acquisition	Land acquisition	Purchasing property	B01a04-Parcel purchase	Parcel purchase	Land purchase costs	B01a04a-Option premium	Option premium	Option to purchase fee			
B01-Land	Land	Land acquisition & assemblage	B01a-Land acquisition	Land acquisition	Purchasing property	B01a04-Parcel purchase	Parcel purchase	Land purchase costs	B01a04b-Purchase price	Purchase price	Land purchase amount			
B01-Land	Land	Land acquisition & assemblage	B01b-Land assembly	Land assembly	Combining multiple parcels	B01b01-Easements	Easements	Access rights acquisition	B01b01a-Acquisition	Acquisition	Easement purchase			
B01-Land	Land	Land acquisition & assemblage	B01b-Land assembly	Land assembly	Combining multiple parcels	B01b02-Multiple parcels	Multiple parcels	Multi-parcel assembly	B01b02a-Assemblage premium	Assemblage premium	Multi-parcel premium			
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02a-Surveys	Surveys	Site survey services	B02a01-Boundary survey	Boundary survey	Property line survey						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02a-Surveys	Surveys	Site survey services	B02a02-Topographic survey	Topographic survey	Elevation and contours						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02a-Surveys	Surveys	Site survey services	B02a03-Utility locate	Utility locate	Underground utility mapping						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02b-Geotechnical	Geotechnical	Soil and subsurface analysis	B02b01-Soil investigation	Soil investigation	Soil boring and testing						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02b-Geotechnical	Geotechnical	Soil and subsurface analysis	B02b02-Geotechnical report	Geotechnical report	Foundation recommendations						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02c-Environmental	Environmental	Environmental assessments	B02c01-Phase I ESA	Phase I ESA	Environmental records review						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02c-Environmental	Environmental	Environmental assessments	B02c02-Phase II ESA	Phase II ESA	Soil/groundwater sampling						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02c-Environmental	Environmental	Environmental assessments	B02c03-Endangered species	Endangered species	Wildlife habitat assessment						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02c-Environmental	Environmental	Environmental assessments	B02c04-Wetland delineation	Wetland delineation	Wetland boundary mapping						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02d-Planning	Planning	Project planning studies	B02d01-Market study	Market study	Demand analysis						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02d-Planning	Planning	Project planning studies	B02d02-Zoning analysis	Zoning analysis	Land use evaluation						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02d-Planning	Planning	Project planning studies	B02d03-Concept design	Concept design	Preliminary design concepts						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02e-Engineering studies	Engineering studies	Preliminary engineering	B02e01-Civil preliminary	Civil preliminary	Preliminary site engineering						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02e-Engineering studies	Engineering studies	Preliminary engineering	B02e02-Drainage study	Drainage study	Stormwater analysis						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02e-Engineering studies	Engineering studies	Preliminary engineering	B02e03-Traffic study	Traffic study	Traffic impact analysis						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02f-Legal	Legal	Pre-development legal	B02f01-Entitlement counsel	Entitlement counsel	Approval process attorney						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02f-Legal	Legal	Pre-development legal	B02f02-Land use attorney	Land use attorney	Zoning legal services						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02g-Public process	Public process	Community engagement	B02g01-Community meetings	Community meetings	Neighborhood outreach						
B02-PreDev	PreDev	Pre-development, entitlement, and approvals	B02g-Public process	Public process	Community engagement	B02g02-Government liaison	Government liaison	Agency coordination						
B03-Permits	Permits	Permits, plan review, and administrative fees	B03a-Building permits	Building permits	Fees to obtain construction permits from the building department	B03a01-Residential building permit	Residential building permit	Primary building permit fee based on project valuation or square footage
B03-Permits	Permits	Permits, plan review, and administrative fees	B03a-Building permits	Building permits	Fees to obtain construction permits from the building department	B03a02-Mechanical permit	Mechanical permit	Permit for HVAC system installation
B03-Permits	Permits	Permits, plan review, and administrative fees	B03a-Building permits	Building permits	Fees to obtain construction permits from the building department	B03a03-Electrical permit	Electrical permit	Permit for electrical system installation
B03-Permits	Permits	Permits, plan review, and administrative fees	B03a-Building permits	Building permits	Fees to obtain construction permits from the building department	B03a04-Plumbing permit	Plumbing permit	Permit for plumbing system installation
B03-Permits	Permits	Permits, plan review, and administrative fees	B03b-Plan review fees	Plan review fees	Fees charged by jurisdiction to review construction documents for code compliance	B03b01-Structural review	Structural review	Review of structural engineering drawings and calculations
B03-Permits	Permits	Permits, plan review, and administrative fees	B03b-Plan review fees	Plan review fees	Fees charged by jurisdiction to review construction documents for code compliance	B03b02-Fire and life safety review	Fire and life safety review	Review of fire protection and egress plans
B03-Permits	Permits	Permits, plan review, and administrative fees	B03b-Plan review fees	Plan review fees	Fees charged by jurisdiction to review construction documents for code compliance	B03b03-Energy code review	Energy code review	Review of energy compliance documentation
B03-Permits	Permits	Permits, plan review, and administrative fees	B03b-Plan review fees	Plan review fees	Fees charged by jurisdiction to review construction documents for code compliance	B03b04-Expedited review surcharge	Expedited review surcharge	Premium fee for accelerated plan review processing
B03-Permits	Permits	Permits, plan review, and administrative fees	B03c-Impact and development fees	Impact and development fees	One-time fees assessed to offset project impacts on public infrastructure and services	B03c01-Transportation impact	Transportation impact	Fee for road and transit infrastructure impacts
B03-Permits	Permits	Permits, plan review, and administrative fees	B03c-Impact and development fees	Impact and development fees	One-time fees assessed to offset project impacts on public infrastructure and services	B03c02-School impact	School impact	Fee for school capacity impacts
B03-Permits	Permits	Permits, plan review, and administrative fees	B03c-Impact and development fees	Impact and development fees	One-time fees assessed to offset project impacts on public infrastructure and services	B03c03-Park and recreation	Park and recreation	Fee for park land and recreation facility impacts
B03-Permits	Permits	Permits, plan review, and administrative fees	B03c-Impact and development fees	Impact and development fees	One-time fees assessed to offset project impacts on public infrastructure and services	B03c04-Fire and police	Fire and police	Fee for public safety facility impacts
B03-Permits	Permits	Permits, plan review, and administrative fees	B03c-Impact and development fees	Impact and development fees	One-time fees assessed to offset project impacts on public infrastructure and services	B03c05-Stormwater	Stormwater	Fee for stormwater management system impacts
B03-Permits	Permits	Permits, plan review, and administrative fees	B03c-Impact and development fees	Impact and development fees	One-time fees assessed to offset project impacts on public infrastructure and services	B03c06-General government	General government	General administrative and capital recovery fee
